 domgi       accession                      taxid      
	taxOrg                                                                  
                                                                                
                                                                                
                       
	nPig        nGi        
	Deltaproteobacteria bacterium RBG_13_52_11b                             
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1797838
	Deltaproteobacteria bacterium RBG_16_47_11                              
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1797913
	Desulfobacterales bacterium GWB2_56_26                                  
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1798224
	Jiangella sp. DSM 45060                                                 
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1798575
	Lentisphaerae bacterium GWF2_52_8                                       
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1805477
	Clostridium sp. Marseille-P299                                          
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1837170
	Candidatus Thorarchaeota archaeon AB_25                                 
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1841596
	Candidatus Heimdallarchaeota archaeon AB_125                            
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1841598
	Candidatus Heimdallarchaeota archaeon LC_3                              
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1844469
	Nostoc minutum NIES-26                                                  
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1848292
	Ensifer sp. LCM 4579                                                    
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1851505
	Cyanobium sp. NIES-981                                                  
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1852386
	Olsenella provencensis                                                  
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1855283
	Sphingomonas sp. JS21-1                                                 
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1869297
	Desulfovibrio sp. S3730MH75                                             
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1869300
	Desulfobacterales bacterium S5133MH16                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1870985
	Arabia massiliensis                                                     
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1871008
	Eggerthella timonensis                                                  
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1871020
	Clostridium sp. Marseille-P3244                                         
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1871071
	Comamonadaceae bacterium                                                
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1881015
	Nostoc sp. MBR 210                                                      
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1888891
	Desulfosporosinus sp. OL                                                
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1895747
	Clostridiales bacterium 43-6                                            
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1896972
	Azospirillum sp. 51_20                                                  
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1896977
	Clostridium sp. 26_21                                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1896980
	Clostridium sp. 28_12                                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1896981
	Clostridium sp. 28_17                                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1896998
	Coprococcus sp. CAG:131-related_45_246                                  
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1897003
	Eubacterium sp. 41_20                                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1897012
	Oscillibacter sp. CAG:241_62_21                                         
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1897016
	Roseburia sp. CAG:10041_57                                              
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1897039
	Bacteroidales bacterium 43_8                                            
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1897048
	Clostridiales bacterium 52_15                                           
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1898205
	Ruminococcaceae bacterium                                               
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1898379
	Methanothermobacter sp. MT-2                                            
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1903261
	Mailhella massiliensis                                                  
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1904441
	Rhodobacteraceae bacterium                                              
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1915078
	Thioclava nitratireducens                                               
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1915313
	Thioclava sp. DLFJ4-1                                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1915315
	Thioclava sp. F28-4                                                     
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1915316
	Thioclava sp. F36-6                                                     
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1915317
	Thioclava sp. F36-7                                                     
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1915319
	Thioclava sediminum                                                     
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1917472
	Methanosaeta sp. NSP1                                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1917473
	Methanosaeta sp. NSM2                                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1917474
	Methanosaeta sp. ASO1                                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1917475
	Methanosaeta sp. ASP1-1                                                 
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1917477
	Methanosaeta sp. ASM2                                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1919144
	Cyanobacteria bacterium SW_9_44_58                                      
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1927129
	Methanonatronarchaeum thermophilum                                      
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1933280
	Thermoplasmata archaeon M9B2D                                           
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1933927
	Candidatus Altiarchaeales archaeon A3                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1936077
	candidate division WOR-3 bacterium 4484_100                             
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1938617
	Rathayibacter sp. VKM Ac-2630                                           
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1945521
	Psychrobacter piechaudii                                                
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1945577
	Methanosphaera sp. rholeuAM270                                          
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1945579
	Methanosphaera sp. rholeuAM74                                           
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1945580
	Methanosphaera sp. rholeuAM6                                            
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1945631
	Methanosphaera sp. SHI613                                               
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1945872
	Fibrobacter sp. UWRM                                                    
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1956169
	Desulfobacteraceae bacterium 4484_190.3                                 
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1968522
	Desulfococcus sp. 4484_241                                              
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1968525
	Candidatus Cloacimonas sp. 4484_209                                     
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1970561
	Rhodobacterales bacterium 34-62-10                                      
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1974787
	Candidatus Peregrinibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_49_
10                                                                              
                                                                                
                       
	          2           2
      335786 pfam04432                          1981173
	Rhizobium sp. NXC14                                                     
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1985678
	Haloferacaceae archaeon SYSU A9-0                                       
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1986758
	Methylococcaceae bacterium TMED282                                      
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1986766
	Methylococcaceae bacterium TMED69                                       
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          1990687
	Rhodococcus sp. S2-17                                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2006182
	Methanobrevibacter sp. NOE                                              
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2011094
	Coriobacteriaceae bacterium                                             
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2012509
	Candidatus Bathyarchaeota archaeon ex4484_135                           
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2012519
	Desulfurococcales archaeon ex4484_217_2                                 
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2013736
	Deltaproteobacteria bacterium HGW-Deltaproteobacteria-1                 
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2013739
	Deltaproteobacteria bacterium HGW-Deltaproteobacteria-12                
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2013740
	Deltaproteobacteria bacterium HGW-Deltaproteobacteria-13                
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2013742
	Deltaproteobacteria bacterium HGW-Deltaproteobacteria-15                
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2013746
	Deltaproteobacteria bacterium HGW-Deltaproteobacteria-19                
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2013749
	Deltaproteobacteria bacterium HGW-Deltaproteobacteria-21                
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2013816
	Methanobacteriales archaeon HGW-Methanobacteriales-2                    
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2013820
	Methanomicrobiales archaeon HGW-Methanomicrobiales-4                    
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2013837
	Spirochaetae bacterium HGW-Spirochaetae-5                               
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2014781
	Neglecta sp. Marseille-P3890                                            
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2015572
	Alphaproteobacteria bacterium PA4                                       
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2019665
	Fischerella thermalis CCMEE 5319                                        
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2025351
	Methanobacterium sp. BAmetb5                                            
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2026720
	Candidatus Saccharibacteria bacterium                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2026779
	Planctomycetaceae bacterium                                             
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2026799
	Verrucomicrobia bacterium                                               
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2035772
	Candidatus Omnitrophica bacterium                                       
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2040295
	Clostridium sp. Marseille-P4200                                         
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2041044
	Eubacterium maltosivorans                                               
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2041147
	Candidatus Bathyarchaeota archaeon B24-2                                
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2045301
	Megasphaera sp. Marseille-P4857                                         
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2048897
	Rhizobium sp. NXC24                                                     
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2052804
	Euzebya rosea                                                           
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2053303
	Marinilabiliales bacterium                                              
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2053607
	Candidatus Rokubacteria bacterium                                       
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2072847
	Adhaeribacter sp. HMF7616                                               
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2079531
	Prevotella sp. Marseille-P4119                                          
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2109692
	Erysipelotrichaceae bacterium GAM147                                    
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2135611
	Loktanella sp. PT4BL                                                    
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2135728
	Rhodococcus sp. OK269                                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2173106
	Brenneria sp. CFCC 11842                                                
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2201156
	Acidimicrobiales bacterium                                              
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2231115
	Thermovibrio sp.                                                        
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2293041
	Clostridium sp. OM04-12AA                                               
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2419984
	Candidatus Schekmanbacteria bacterium                                   
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2483110
	Clostridium sp. JN-1                                                    
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2491866
	Paracoccus sp. M1-83                                                    
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2496650
	Mesorhizobium sp. M2A.F.Ca.ET.017.03.2.1                                
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                          2496689
	Mesorhizobium sp. M7A.F.Ca.CA.004.01.1.1                                
                                                                                
                                                                                
                       
	          2           2
      335786 pfam04432                           266834
	Sinorhizobium meliloti 1021                                             
                                                                                
                                                                                
                       
	          1          87
      335786 pfam04432                           227292
	Sinorhizobium/Ensifer group                                             
                                                                                
                                                                                
                       
	          1          22
      335786 pfam04432                          1919121
	Cyanobacteria bacterium QH_2_48_84                                      
                                                                                
                                                                                
                       
	          1          19
      335786 pfam04432                              543
	Enterobacteriaceae                                                      
                                                                                
                                                                                
                       
	          1          18
      335786 pfam04432                             2062
	Streptomycetaceae                                                       
                                                                                
                                                                                
                       
	          1          12
      335786 pfam04432                            75654
	Duganella                                                               
                                                                                
                                                                                
                       
	          1          11
      335786 pfam04432                          1124983
	Pseudomonas protegens CHA0                                              
                                                                                
                                                                                
                       
	          1          11
      335786 pfam04432                             1142
	Synechocystis                                                           
                                                                                
                                                                                
                       
	          1           9
      335786 pfam04432                           457394
	Bacteroides sp. 4_3_47FAA                                               
                                                                                
                                                                                
                       
	          1           8
      335786 pfam04432                          2184759
	Bacteroides sp. NMBE5                                                   
                                                                                
                                                                                
                       
	          1           8
      335786 pfam04432                          1339338
	Bacteroides fragilis str. 1007-1-F #4                                   
                                                                                
                                                                                
                       
	          1           7
      335786 pfam04432                          1566208
	Pseudomonas sp. NFPP12                                                  
                                                                                
                                                                                
                       
	          1           7
      335786 pfam04432                          1703965
	Rhizobium sp. N6212                                                     
                                                                                
                                                                                
                       
	          1           7
      335786 pfam04432                          1798440
	Ignavibacteria bacterium RIFOXYA12_FULL_38_9                            
                                                                                
                                                                                
                       
	          1           7
      335786 pfam04432                             1827
	Rhodococcus                                                             
                                                                                
                                                                                
                       
	          1           6
      335786 pfam04432                            68570
	Streptomyces albulus                                                    
                                                                                
                                                                                
                       
	          1           6
      335786 pfam04432                           324602
	Chloroflexus aurantiacus J-10-fl                                        
                                                                                
                                                                                
                       
	          1           6
      335786 pfam04432                           698936
	Sinorhizobium meliloti BL225C                                           
                                                                                
                                                                                
                       
	          1           6
      335786 pfam04432                          1262951
	Ruminococcus sp. CAG:17                                                 
                                                                                
                                                                                
                       
	          1           6
      335786 pfam04432                          1798419
